key,zh-CN-zai,zh-CN-gl,zh-TW,en-US,ko-KR,ja-JP,th-TH,id-ID,ru-RU,it-IT,pt-BR,es-ES,vi-VN,fr-FR,tr-TR
Ending_tips_1,倒计时结束，继续开始下一局吧！,倒计时结束，继续开始下一局吧！,請進行下一輪回合。,Proceed to next round,다음 라운드를 진행하세요.,次のラウンドに進んでね,เล่นรอบต่อไป,Lanjut ke ronde berikutnya,Начать следующий раунд,Partecipa al round successivo,Ir à próxima rodada,Pasar a la siguiente ronda,Sang vòng tiếp theo,Passer au tour suivant,Bir sonraki tura geç
Ending_tips_2,本局获得积分：{0},本局获得积分：{0},獲取分數{0},Earned Points {0},획득 포인트 {0},獲得ポイント {0},แต้มที่ได้รับ {0},Perolehan Poin {0},Заработано очков: {0},{0} punti accumulati,Pontos ganhos: {0},Puntos obtenidos: {0},Số Điểm Đã Đạt {0},Points gagnés {0},{0} Puan Kazanıldı
Outcome_title,本局排行,本局排行,回合排名,Round Ranking,라운드 랭킹,ラウンドランキング,การจัดอันดับรอบ,Peringkat Ronde,Рейтинг раунда,Classifica del round,Classificação da rodada,Clasificación de la ronda,Xếp Hạng Bảng Đấu,Classement de cette manche,Tur Sıralaması
Outcome_tips_1,倒计时结束，继续开始下一局吧！,倒计时结束，继续开始下一局吧！,請開始下一輪回合。,Start the next round!,다음 라운드를 시작하세요!,次のラウンドを始めよう！,เริ่มรอบต่อไป!,Mulai mode berikutnya!,Начните следующий раунд!,Inizia il prossimo round!,Comece a próxima rodada!,¡Empieza la siguiente ronda!,Bắt Đầu Vòng Tiếp Theo!,Commencez le prochain tour !,Bir sonraki tura başla!
Outcome_content_1,我的排名,我的排名,我的排名,My Ranking,나의 랭킹,マイランキング,อันดับของฉัน,Peringkat Saya,Мой рейтинг,La mia posizione in classifica,Minha classificação,Mi clasificación,Bảng Xếp Hạng của Tôi,Mon classement,Sıralamam
Outcome_content_2,累计积分,累计积分,總積分,Total Points,누적 포인트,トータルポイント,แต้มทั้งหมด,Poin Total,Всего очков,Punti totali,Total de pontos,Puntos totales,Tổng Điểm,Total des points,Toplam Puan
Rank_title,Ranking,Ranking,排名,Ranking,랭킹,ランキング,อันดับ,Peringkat,Рейтинг,Classifica,Classificação,Clasificación,Xếp Hạng,Classement,Sıralama
Rank_tips,赛季结束：每周一{0}点,赛季结束：每周一{0}点,賽季結束：每週一{0}時,End of Season: Every Monday at {0},시즌 종료 시간: 매주 월요일 {0}시,シーズン終了時間：毎週月曜{0},เวลาจบซีซั่น: ทุกวันจันทร์เวลา {0},Akhir Musim: Setiap Senin pada {0},Конец сезона: Каждый понедельник в {0},Fine della stagione: ogni lunedì alle {0},Fim da temporada: toda segunda-feira às {0},Fin de temporada: cada lunes a las {0},Cuối Mùa Giải: lúc {0} mỗi Thứ Hai,Fin de saison : chaque lundi à {0},Sezon Sonu: Her Pazartesi {0} Saatinde
Rank_content_1,我的排名,我的排名,我的排名,My Ranking,나의 랭킹,マイランキング,อันดับของฉัน,Peringkat Saya,Мой рейтинг,La mia posizione in classifica,Minha classificação,Mi clasificación,Bảng Xếp Hạng của Tôi,Mon classement,Sıralamam
Rank_content_2,累计积分,累计积分,總積分,Total Points,누적 포인트,トータルポイント,แต้มทั้งหมด,Poin Total,Всего очков,Punti totali,Total de pontos,Puntos totales,Tổng Điểm,Total des points,Toplam Puan
Reward_title,排行奖励,排行奖励,排名獎勵,Ranking Reward,랭킹 보상,ランキングボーナス,รางวัลอันดับ,Hadiah Peringkat,Награда за рейтинг,Premi classifica,Recompensa da classificação,Recompensa de clasificación,Phần Thưởng Xếp Hạng,Récompense pour le classement,Sıralama Ödülü
Reward_list_1,第{0}名,第{0}名,第{0}名,Rank {0},{0}위,{0}位,อันดับ {0},Peringkat {0},Ранг {0},Classifica {0},Posição: {0}.º,Puesto {0},Hạng {0},Rang {0},{0}. Sıra
Reward_list_2,前{0}名,前{0}名,第{0}名,Rank {0},{0}위,{0}位,อันดับ {0},Peringkat {0},Ранг {0},Classifica {0},Posição: {0}.º,Puesto {0},Hạng {0},Rang {0},{0}. Sıra
Reward_list_3,TOP{0}%,TOP{0}%,前{0}%,TOP {0}%,TOP {0}%,TOP {0}%,TOP {0}%,TOP {0}%,Лучшие {0}%,Migliori {0}%,Top {0}%,TOP {0} %,TOP {0}%,TOP {0} %.,İLK %{0}
Reward_list_4,参与奖,参与奖,參加獎,Participation Prize,참가상,参加賞,รางวัลเข้าร่วม,Hadiah Partisipasi,Награда за участие,Premi di partecipazione,Prêmio de participação,Premio de participación,Phần Thưởng Tham Gia,Prix de participation,Katılım Ödülü
Reward_tips,需要在该赛季结束后7日内登录才能收到奖励,需要在该赛季结束后7日内登录才能收到奖励,你必須在賽季結束後的7天內重新登入才能獲得獎勵。,You must log in again within 7 days of the end of the season to receive rewards.,시즌 종료 후 7일 이내에 다시 접속해야 보상을 받을 수 있어요.,シーズン終了後7日以内に再ログインしないとボーナスをゲットできなしよ,ต้องเข้าสู่ระบบภายใน 7 วันหลังจากซีซั่นสิ้นสุดลงเพื่อรับรางวัล,Anda harus login lagi dalam 7 hari sejak akhir musim untuk menerima hadiah.,"Зайдите в игру еще раз в течение 7 дней после конца сезона, чтобы получить награду.",Devi effettuare il login entro 7 giorni dalla fine della stagione per ricevere tutti i tuoi premi.,"Para receber as recompensas, você deve iniciar sessão novamente dentro de 7 dias a partir do final da temporada.","Para recibir recompensas, deberás iniciar sesión dentro de los 7 días posteriores al fin de la temporada.",Bạn phải đăng nhập lại trong vòng 7 ngày cuối mùa giải để nhận thưởng.,Vous devez vous reconnecter dans les 7 jours qui suivent la fin de la saison pour recevoir des récompenses.,Ödülleri almak için sezon bitiminden sonraki 7 gün içinde tekrar giriş yapmalısın.
Tips_toast,连接失败，无法连接服务器，请检查您的网络,连接失败，无法连接服务器，请检查您的网络,無法連線到伺服器，請檢查網路狀態。,Cannot connect to the server. Please check the network status.,서버에 접속할 수 없어요. 네트워크 상태를 확인해 주세요.,サーバーにアクセスできません。ネットワーク状況を確認してください。,ไม่สามารถเชื่อมต่อเซิร์ฟเวอร์ได้ โปรดตรวจสอบสถานะเครือข่ายอีกครั้ง,Tidak bisa menghubungkan ke server. Mohon periksa status jaringan.,Не удается подключиться к серверу. Проверьте статус сети.,Impossibile connettersi al server. Verifica lo stato della rete.,Não foi possível conectar-se ao servidor. Verifique o status da rede.,No se pudo conectar al servidor. Comprueba el estado de la red.,Không thể kết nối với server. Xin hãy kiểm tra tình trạng mạng.,Impossible de se connecter au serveur. Veuillez vérifier l'état du réseau.,Sunucuya bağlanılamıyor. Lütfen ağ durumunu kontrol et.
Reward_rank_tips,排行榜奖励发放<br>获得{0}个金币,排行榜奖励发放<br>获得{0}个金币,獲得{0}個 <br>排名獎勵貨幣。,Received <br>{0} Coin(s) as ranking reward.,랭킹 보상<br>{0}코인을 받았어요.,ランキングボーナス<br>{0}Coinゲット！,ได้รับ {0} เหรียญ<br>เป็นรางวัลอันดับ,Menerima <br>{0} Koin sebagai hadiah peringkat.,В награду за рейтинг получены монеты <br>x{0}.,Ha ricevuto <br>{0} Moneta/e come premio classifica.,Recebeu <br>{0} Moeda(s) como recompensa de classificação.,Recibiste <br>{0} moneda/s como recompensa de clasificación.,Đã nhận <br>{0} Xu như phần thưởng hạng.,A reçu <br>{0} pièce(s) comme récompense de classement.,Sıralama ödülü olarak <br>{0} Coin alındı.
Reward_rank_tips_1,排行榜奖励发放<br>获得{0}钻石,排行榜奖励发放<br>获得{0}个钻石,,,,,,,,,,,,,
Reward_daily_task_tips,获得{0}个金币,获得{0}个金币,獲得{0}個貨幣。,Received {0} Coin(s).,{0}코인을 받았어요.,{0}Coinゲット！,ได้รับคอยน์ {0} อัน,Menerima {0} Koin.,Вы получили монеты: {0}.,{0 } Moneta/e ricevuta/e,Recebeu {0} Moeda(s),Recibiste <br>{0} moneda/s.,Đã nhận {0} Xu.,A reçu {0} pièce(s).,{0} Coin alındı.
Reward_daily_task_tips_1,获得{0}个钻石,获得{0}个钻石,,,,,,,,,,,,,
Daily_task_tip_1,每日奖励,每日奖励,每日任務,Daily Quest,일일 퀘스트,デイリークエスト,เควสต์ประจำวัน,Misi Harian,Ежедневный квест,Missione del Giorno,Missão diária,Misión diaria,Nhiệm Vụ Hàng Ngày,Quête quotidienne,Günlük Görev
Daily_task_tip_2,今日活跃度,今日活跃度,完成度,Progress,진행도,進行状況,ความคืบหน้า,Kemajuan,Прогресс,Avanzamento,Progresso,Progreso,Tiến Độ,Progression,İlerleme Durumu
Daily_task_tip_3,GET,GET,GET,GET,GET,GET,GET,GET,ПОЛУЧИТЬ,OTTIENI,RECEBA,RECIBE,GET,GET,AL
Daily_task_claim,领取,领取,獲取,Claim,받기,受け取る,รับ,Ambil,Затребовать,Richiedi,Receber,Reclamar,Nhận,Réclamer,Talep Et
Daily_task_completed,已完成,已完成,完成,Completed,완료,完了,สำเร็จ,Selesai,Завершено,Missioni completate,Concluída,Completada,Đã Hoàn Thành,Terminé,Tamamlandı
Daily_task_name_1,每日打卡,每日打卡,簽到打卡,Attendance Check,출석 체크,ログインチェック,เช็กชื่อ,Cek Kehadiran,Проверка посещаемости,Verifica delle presenze,Marcando presença,Confirmación de asistencia,Điểm Danh,Contrôle de présence,Katılım Kontrolü
Daily_task_name_2,勤于练习,勤于练习,練習狂,Practice Master,연습벌레,練習マスター,ปรมาจารย์การฝึกซ้อม,Master Latihan,Мастер практики,Giocatore esperto,Mestre da prática,Maestría practicante,Chú Ong Chăm Chỉ,Maître des entraînements,Eğitim Ustası
Daily_task_name_3,寻找大师,寻找大师,追捕達人,Master Hunter,술래 장인,鬼の超人,ปรมาจารย์ฮันเตอร์,Master Pemburu,Главный охотник,Cercatore esperto,Mestre dos caçadores,Maestría cazadora,Bậc Thầy Đuổi Bắt,Maître Chasseur,Usta Arayıcı
Daily_task_name_4,躲藏专家,躲藏专家,變身達人,Prop Master,사물 변신 달인,物の変身達人,ปรมาจารย์พร็อบ,Master Benda,Мастер преображения в предметы,Miglior giocatore nascosto,Mestre dos objetos,Maestría transformadora,Bậc Thầy Ẩn Nấu,Maître des accessoires,Saklanma Ustası
Daily_task_name_5,时间达人,时间达人,時間旅行者,Time Traveler,시간 여행자,タイムトラベラー,นักท่องเวลา,Penjelajah Waktu,Путешественник во времени,Esploratore del tempo,Viajante do tempo,Trotamundos del tiempo,Nhà Du Hành Thời Gian,Voyageur du temps,Zaman Yolcusu
Daily_task_des_1,每日进入世界打卡,每日进入世界打卡,每日簽到打卡,Check in for attendance daily,매일 출석 체크하기,毎日ログインチェックする,เช็กชื่อทุกวัน,Cek in untuk kehadiran harian,Ежедневная проверка посещаемости,Verifica la presenza tutti i giorni,Marque presença diariamente,Confirma asistencia a diario,Điểm danh đăng nhập hàng ngày,Contrôle quotidien de la présence,Günlük katılım için giriş yap
Daily_task_des_2,每日完成4场百变躲猫猫,每日完成4场百变躲猫猫,捉迷藏遊戲玩4次,Play Hide & Seek 4 times,숨바꼭질 4회 플레이하기,かくれんぼを4回プレイする,เล่นซ่อนหา 4 ครั้ง,Mainkan Petak Umpet 4 kali,Сыграйте в «Прятки» 4 раза,Gioca a Nascondino magico 4 volte,Jogue Esconde-Esconde 4 vezes,Juega al Escondite 4 veces,Chơi Trốn Tìm 4 lần,Jouer à cache-cache 4 fois,4 kez Saklambaç oyna
Daily_task_des_3,做为寻找者胜利8场,做为寻找者胜利8场,作為追捕者隊贏得8場比賽,Win 8 games as Hunter Team,술래팀으로 8회 승리하기,鬼チームで8回勝利する,ชนะ 8 เกมในฐานะทีมฮันเตอร์,Menangkan 8 permainan sebagai Tim Pemburu,Выиграйте 8 игр за команду охотников,Vinci 8 partite nel team dei cercatori,Vença 8 partidas na Equipe Caçadora,Gana 8 partidas en en equipo Cazador,Chơi 8 ván làm Đội Thợ Săn,Gagner 8 parties en étant dans l'équipe des chasseurs,Arayıcı Takım olarak 8 oyun kazan
Daily_task_des_4,做为躲藏者胜利8场,做为躲藏者胜利8场,作為匿藏者隊贏得8場比賽,Win 8 games as Prop Team,사물팀으로 8회 승리하기,事チームで8回勝利する,ชนะ 8 เกมในฐานะทีมพร็อบ,Menangkan 8 permainan sebagai Tim Benda,Выиграйте 8 игр за команду предметов,Vinci 8 partite nel team dei giocatori nascosti,Vença 8 partidas na Equipe Objeto,Gana 8 partidas en en equipo Objeto,Chơi 8 ván làm Đội Con Mồi,Gagner 8 parties en étant dans l'équipe des accessoires,Gizlenme Takımı olarak 8 oyun kazan
Daily_task_des_5,每日体验时间达到30分钟(游戏结算生效),每日体验时间达到30分钟(游戏结算生效),每日玩30分鐘,Play 30 minutes daily,매일 30분 플레이하기,毎日30分プレイする,เล่น 30 นาทีทุกวัน,Bermain 30 menit setiap hari,Играйте в течение 30 минут каждый день,Gioca 30 minuti al giorno,Jogue 30 minutos todos os dias,Juega 30 minutos diarios,Chơi 30 phút mỗi ngày,Jouer 30 minutes par jour,Günde 30 dakika oyna
Barrage_tip_1,(寻找者){0},(寻找者){0},(追捕者){0},(Hunter){0},(술래){0},(鬼){0},(ฮันเตอร์){0},(Pemburu){0},(Охотник){0},(Cercatore){0},(Caçador){0},(Cazador){0},(Thợ Săn){0},(Chasseur){0},(Arayıcı){0}
Barrage_tip_2,(躲藏者){0},(躲藏者){0},(隱身者){0},(Prop){0},(사물팀){0},(隠れ役){0},(พร็อบ){0},(Benda){0},(Предмет){0},(Oggetto){0},(Objeto){0},(Objeto){0},(Con Mồi){0},(Accessoire){0},(Gizlenen){0}
Barrage_hider_1,快点啊，我等到花儿都谢了！！！,快点啊，我等到花儿都谢了！！！,到底還要等多久？！,What's taking so long?!,기다리다 해 다 지겠다!,待ってたら日が暮れちゃいそうだよ！,มัวแต่รอก็แพ้น่ะสิ!,Nunggu sampai lumutan nih!,Что так долго?!,Perché ci vuole così tanto tempo?!,Que demora é essa?!,¡¿Por qué tardan tanto?!,Sao lâu quá vậy?!,Qu'est-ce qui prend autant de temps ? !,Neden bu kadar uzun sürdü?!
Barrage_hider_2,没有办法，我就是这么强大！！！,没有办法，我就是这么强大！！！,我真的厲害！,I'm pretty good!,나 진짜 잘해!,私サイコー！,ฉันเก่งมากเลยนะเนี่ย!,Aku cukup hebat!,Берите пример с меня!,Tutto okay qui!,Eu mando bem demais!,¡Qué bien lo hago!,Mình hơi bị giỏi luôn!,Je suis plutôt doué !,Acayip iyiyim!
Barrage_hider_3,嘤嘤嘤......,嘤嘤嘤......,嗚嗚,T_T,ㅠㅠ,T_T,TT,T_T,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ
Barrage_hider_4,我噶了......,我噶了......,完蛋了。嗚嗚,I'm doomed T_T,나 망했어 ㅠㅠ,失敗した..,ฉันจบแล้วละ TT,Habislah aku T_T,Мне крышка ㅠㅠ,Sono spacciato/a ㅠㅠ,Já era pra mim ㅠㅠ,Hasta aquí llegué ㅠㅠ,Tiêu mình rồi ㅠㅠ,Je suis condamné ㅠㅠ,Mahvoldum ben ㅠㅠ
Barrage_hider_5,稳住，我们能赢！！！,稳住，我们能赢！！！,我們會贏得！！！,We can win this!!!,우리 이길 수 있어!!!,勝てるよ！！！,เรายังสามารถชนะได้!!!,Kita bisa menang!!!,Мы можем победить!!!,Possiamo vincere!!!,Podemos vencer!!!,¡¡¡Podemos ganar!!!,Chúng ta có thể thắng ván này!!!,On peut gagner ! !!,Bunu kazanabiliriz!!!
Barrage_hider_6,你过来呀！！！,你过来呀！！！,哈囉，我在這裡,I'm right here!,나 여기있지롱,ここだよ〜,อยู่ตรงนี้จ้า~,Aku di sini~,Я здесь...,Sono proprio qui!,Estou aqui,Estoy aquí mismo,Ta ở đây nè~,Je suis juste là~,Buradayım kii~
Barrage_hider_7,我躺平了......,我躺平了......,巴士很好,It's nice to be carried,버스 좋다,この人うますぎて余裕勝ち〜,แครี่ได้ดีมาก,Enaknya dibawa-bawa,"Люблю, когда меня носят на руках",Che bello essere trasportati!,Adoro quando me carregam,Da gusto que te lleven,Có người gánh tốt quá,C'est agréable d'être porté,Birinin destek atması güzelmiş
Barrage_hider_8,在找不到我，我回家了......,在找不到我，我回家了......,這裡沒有追捕者嗎？哈哈哈,Where are the hunters? lol,여기 술래하는 사람 없나? ㅋㅋㅋ,鬼いるよね？ 笑笑,ฮันเตอร์อยู่ไหนเนี่ย? 555,Mana yang nangkep? wkwkwk,Где охотники? лол,Dove sono i cercatori? lol,Cadê os caçadores? rsrs,¿Dónde están los cazadores? Ja,Bọn thợ săn đâu rồi? lol,Où sont les chasseurs ? lol,Arayıcılar nerede? hehe
Barrage_hider_9,状态不好，快跑！！！,状态不好，快跑！！！,他們往這邊來了，趕快跑！,They're coming. Hide!,여기로 온다. 도망가자!,鬼が来るよ！逃げよう！,มากันแล้ว หลบเร็ว!,Mereka datang. Sembunyi!,Они идут. Атас!,Stanno arrivando. Nascondiamoci in fretta!,Estão vindo. Escondam-se!,Ahí vienen. ¡Escóndanse!,Chúng đang đến kìa. Trốn đi!,Ils arrivent. Cache-toi !,Geliyorlar. Saklanın!
Barrage_hider_10,好好躲藏，别浪！！！,好好躲藏，别浪！！！,你就躲在那裡!,Just stay hidden there!,거기 그냥 숨어있어!,そこに隠れてて！,หลบอยู่ตรงนั้นแหละ!,Sembunyi di tempat!,Не высовывайтесь!,Rimani nascosto/a lì!,Se esconda aqui e não saia!,¡Escóndanse ahí!,Cứ trốn ở đó đi!,Reste caché là !,Orada saklanıp bi' yere kıpırdama!
Barrage_hider_11,你不要过来呀！,你不要过来呀！,別來這裡！,Better not come here!,여기 오지마!,来ないで！,อย่ามาทางนี้!,Sebaiknya jangan ke sini!,Сюда лучше не ходить!,Meglio che non vieni qui!,Melhor não vir pra cá!,¡Mejor que no vengas aquí!,Đừng tới gần đây!,Tu ferais mieux de ne pas venir ici !,Buraya gelmesen iyi olur!
Barrage_hider_12,你绝对找不到我！,你绝对找不到我！,應該找不到我吧？,Bet you can't find me!,나 못 찾을 걸?,私を見つけられないはず！,หาไม่เจอหรอก!,Kamu pasti tidak bisa menemukanku!,Спорим ты не сможешь меня найти!,Scommetto che non riuscirai a trovarmi!,Duvido que me ache!,¡A que no me encuentras!,Cá là cậu không tìm được tớ đâu!,Je parie que tu ne me trouveras pas !,Eminim beni bulamazsın!
Barrage_hider_13,我大意了，没有闪！,我大意了，没有闪！,啊...大意了 ㅠ,"Whoops, I let my guard down",아...방심했다 ㅠ,あ...油断しちゃった(泣),โถ่... เผลอไปหน่อย TT,"Oops, aku lengah.","Ой, моя защита ослабла","Cavolo, ho abbassato la guardia","Eita, vacilei","¡Ay, bajé la guardia!","Ôi, mình thật bất cẩn mà","Oups, j'ai baissé ma garde","Tüh, gardımı düşürdüm"
Barrage_hider_14,干的漂亮！！！,干的漂亮！！！,很好！！！很好！！！！！！,Good!!! Good!!!,굿!!! 굿!!!!!!,ナイス〜〜！！,ดี!!! ดี!!!!!!,Bagus!!! Bagus!!!,Хорошо! Хорошо!,Bene!!! Bene!!!,Boa!!! Boa!!!,¡Bien! ¡¡¡Bien!!!,Tốt!!! Ngon!!!,Super !!! Super !!!,Güzel!!! Güzel!!!
Barrage_hider_15,大佬救命！,大佬救命！,不行！！救命！！！,No! Don't get me!,안돼!! 살려줘!!!,助けて！！,ไม่นะ!! ช่วยด้วยย!!!,Tidak! Jangan tangkap aku!,Нет! Не поймаешь!,No! Lasciarmi andare!,Não! Não me pegue!,¡No! ¡No me atrapes!,Đừng! Đừng bắt tớ!,Non ! Ne m'attrape pas !,Hayır! Beni yakalamayın!
Barrage_hider_16,交个朋友！,交个朋友！,和我一起做朋友吧！,Let's be friends!,나랑 친구하자!,フレンズになろう！,เรามาเป็นเพื่อนกันเถอะ!,Ayo berteman!,Давай дружить!,Diventiamo amici!,Vamos fazer amizade!,¡Trabemos amistad!,Làm bạn với tớ nhé!,Soyons amis !,Hadi arkadaş olalım!
Barrage_hider_17,新年快乐！,新年快乐！,捉迷藏真的很好玩 嘿嘿,Hide & Seek is so fun!,술래잡기 진짜 재밌엌ㅋ,かくれんぼめっちゃ楽しい！,เกมซ่อนหาสนุกจัง 55,Petak Umpet seru banget!,Играть в прятки весело!,Nascondino è un vero spasso!,Esconde-Esconde é tão divertido!,¡Jugar al escondite es tan divertido!,Trốn Tìm thật vui!,Cache-Cache est trop cool !,Saklambaç acayip eğlenceli!
Barrage_hider_18,你瞅啥？,你瞅啥？,是在看我嗎？,Looking for me?,나 보는 거야?,私をみてるの？,หาฉันอยู่เหรอ?,Mencariku?,Меня ищешь?,Mi stai cercando?,Procurando por mim?,¿Me buscabas?,Đang tìm tớ ư?,Tu me cherches ?,Beni mi arıyorsun?
Barrage_hunter_1,你躲的也忒好了......,你躲的也忒好了......,真不知道他們到底躲在哪裡……嗚嗚,I don't know where they're hiding...,어디 숨었는지 모르겠어 ㅠ,どこに隠れたのか分からない(T_T),ไม่รู้ว่าซ่อนตัวอยู่ที่ไหน TT,Mereka sembunyi di mana ya...,"Я не знаю, где они прячутся...",Non so dove si nascondono...,Não sei onde estão se escondendo...,No sé dónde se esconden…,Ta không biết chúng đang trốn ở đâu...,Je ne sais pas où ils se cachent...,Nerede saklandıklarını bilmiyorum.
Barrage_hunter_2,嘤嘤嘤......,嘤嘤嘤......,嗚嗚,T_T,ㅠㅠ,(T ^ T),TT,T_T,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ
Barrage_hunter_3,我是真的栓Q......,我是真的栓Q......,謝謝,Ty ty,ㄱㅅㄱㅅ,(泣)(泣),ขอบคุณนะ,Makasih,Тс-с-с,Ty Ty,Vlw flw,Gracias,Cám ơn nhé,Je t'en dois une,Teşekkürler
Barrage_hunter_4,稳住，我们能赢！！！,稳住，我们能赢！！！,我們會贏得！！！,We got this!!!,이길 수 있어!!!,勝てるよ！,ยังชนะได้!!!,Kita pasti bisa!!!,Дело в шляпе!!!,Ti ho in pugno!!!,A gente consegue!!!,¡¡¡Pan comido!!!,Chúng ta có thể thắng mà!!!,On gère ! !!,Bu iş bizde!!!
Barrage_hunter_5,你逃我追，你插翅难飞！！！,你逃我追，你插翅难飞！！！,找到了！被我抓住了！,Gotcha! I found you!,찾았다! 딱 걸렸어!,よし！見つけた！,เจอแล้ว! ฉันเจอแล้ว!,Hayo! Kena kamu!!,Попался! Вот ты где!,Preso/a! Ti ho trovato!,A-ha! Te achei!,¡Ya te encontré!,Tìm thấy rồi! Bắt được ngay!,Je t'ai eu ! Je t'ai trouvé !,Yakaladım seni! Seni buldum!
Barrage_hunter_6,别想逃过我的眼睛！！！,别想逃过我的眼睛！！！,你是騙不了我的！,Can't hide from me!,내 눈은 못 속이지!,私の目は誤魔化せないよ！,หลอกฉันไม่ได้หรอก!,Tidak bisa sembunyi dariku!,От меня не спрячешься!,Non posso nascondermi!,Impossível se esconder!,¡No te puedes esconder de mí!,Ngươi không thể trốn khỏi ta đâu!,Tu ne peux pas te cacher de moi !,Benden saklanamazsın!
Barrage_hunter_7,你成功引起了我的注意！！！,你成功引起了我的注意！！！,哇~我真的找不到。好厲害！,"Wow, I really can't find them! ",진짜 못 찾겠다. 대단한걸?!,本当に見つからない！すごすぎる...！,หาไม่เจอจริงๆ นะเนี่ย เก่งกันจัง!,Susah sekali menemukan mereka!,"Ох, я и правда не могу их найти!","Cavolo, non riesco proprio a trovarli!","Eita, tá ruim de achar!","¡Uff, no puedo encontrarlos!","Quào, ta thật sự không thể tìm thấy chúng!","Wow, je ne peux vraiment pas les trouver !","Vay canına, onları cidden bulamıyorum!"
Barrage_hunter_8,不要跑，决战到天亮！！！,不要跑，决战到天亮！！！,趕緊出來吧~你們都在哪裡？！,"Come out, come out, wherever you are!",그만 숨고 나오시지?!,もう隠れるのやめて出てきて！,เลิกซ่อนแล้วออกมาซะดีๆ!,"Di mana pun kamu berada, keluarlah!","Выходите, выходите, где бы вы ни были!","Vieni fuori, ovunque tu sia!","Vamos, apareçam de onde estão!","¡Salgan, salgan de donde quiera que estén!","Ra đây, ra đây xem nào, dù ngươi đang ở đâu!","Sortez, sortez, où que vous soyez !","Elma dersem çık, armut dersem çıkma!"
Barrage_hunter_9,大家分头行动！！！,大家分头行动！！！,現在開始真的去找你們了！,I'm really coming for you now!,지금부터 진짜로 찾는다!,今からガチ探しするもーん！,จะไปหาจริงๆ แล้วนะ!,Aku akan cari kalian sekarang!,Сейчас я вас найду!,Non mi scappi questa volta!!!,Agora eu te pego!,¡Ahora sí que voy con todo!,Ta đang đến tìm ngươi đây!,Je viens vraiment vous chercher maintenant !,Şimdi cidden senin peşindeyim!
Barrage_hunter_10,干得漂亮！！！,干得漂亮！！！,奈斯！,Nice!,나이스!,ナイス！,เยี่ยม!,Bagus!,Здорово!,Ci sono!,Ótimo!,¡Bien!,Hay!,Joli !,İyi!
Barrage_hunter_11,我太难了！,我太难了！,找不到了！,I can't find you!,못 찾겠어!,見つけられない！,หาไม่เจอแน่เลย!,Aku tidak bisa menemukanmu!,Я не могу тебя найти!,Non riesco a trovarti!,Não consigo te achar!,¡No te puedo encontrar!,Tớ không tìm thấy cậu!,Je n'arrive pas à te trouver !,Seni bulamıyorum!
Barrage_hunter_12,毁灭吧，我累了！,毁灭吧，我累了！,真不知道 嗚嗚,What should I do...,모르겠다 진짜 ㅠㅠ,わからない どこ〜(泣),ไม่รู้จะไปหาที่ไหนแล้ว TTT,Bagaimana ya...,Что же мне делать...,Cosa dovrei fare...,O que devo fazer...,¿Qué puedo hacer?…,Tớ phải làm gì đây...,Que dois-je faire...,Ne yapmalıyım...
Barrage_hunter_13,又见面啦！,又见面啦！,又見面了？！,Good to see you again!,또 만났네?!,また会ったね？！,เจอกันอีกแล้ว!,Senang bertemu lagi!,Здорово снова видеть тебя!,Che bello rivederti!,Que bom te ver de novo!,¡Qué alegría verte otra vez!,Lại gặp nhau rồi!,C'est bon de te revoir !,Seni tekrar görmek güzel!
Barrage_hunter_14,交个朋友！,交个朋友！,和我做朋友吧！,Let's be friends!,나랑 친구하자!,フレンズになろう！,เรามาเป็นเพื่อนกันเถอะ!,Ayo berteman!,Давай дружить!,Diventiamo amici!,Vamos fazer amizade!,¡Trabemos amistad!,Làm bạn nhé!,Soyons amis !,Hadi arkadaş olalım!
Barrage_hunter_15,新年快乐！,新年快乐！,捉迷藏真的很好玩 嘿嘿,Hide & Seek is so fun!,술래잡기 진짜 재밌엌ㅋ,かくれんぼめっちゃ楽しい！,เกมซ่อนหาสนุกจัง 55,Petak Umpet seru banget!,Играть в прятки весело!,Nascondino è un vero spasso!,Esconde-Esconde é tão divertido!,¡Jugar al escondite es tan divertido!,Trốn Tìm thật vui!,Cache-cache est un jeu très amusant !,Saklambaç acayip eğlenceli!
Barrage_hunter_16,跟着我！,跟着我！,現在真的要找咯！,I'm gonna find you for real now!,이제 진짜로 찾을 거야!,次こそ見つけてやる！,จะเอาจริงแล้วนะ!,Aku benar-benar akan menemukanmu sekarang!,Теперь я точно тебя найду!,Ora ti troverò davvero!,"Agora é pra valer, vou te achar!",¡Esta vez sí que te encontraré!,Tớ nhất định sẽ tìm được cậu!,Je vais te trouver pour de vrai maintenant !,Şimdi seni gerçekten bulacağım!
Barrage_hunter_17,搜查角落！,搜查角落！,需要仔細看每個角落,Better check every corner,구석구석 봐야지,隅々まで探さないと！,ต้องหาให้หมดทุกซอกมุม,Sebaiknya periksa semua sudut,Лучше проверь каждый уголок,Meglio controllare ogni angolo,Melhor ver em todos os cantos,Lo mejor es revisar cada rincón,Phải tìm mọi ngóc ngách chứ,Mieux vaut vérifier chaque coin,Her köşeyi kontrol etsen iyi olur
